a_first,a_second,b_first,b_second,c_first,c_second
02:02,32:01,53:01,78:01,04:01,16:01
33:03,68:01,44:03,53:01,04:01,04:01
30:01,30:03,42:01,42:01,unmapped,unmapped
23:01,unmapped,07:02,53:01,04:01,15:05
30:01,unmapped,15:16,42:01,16:01,unmapped
36:01,68:01,44:03,52:01,04:01,16:01
02:02,32:01,15:01,45:01,04:01,unmapped
30:02,34:02,44:03,53:01,04:01,04:01
23:01,30:01,08:01,53:01,03:04,04:01
unmapped,unmapped,15:16,57:03,07:01,16:01
02:05,68:01,35:01,58:01,04:01,07:01
30:02,33:03,53:01,57:02,04:01,unmapped
30:02,66:02,50:01,58:01,06:02,07:01
30:01,68:02,15:10,35:01,03:04,04:01
33:03,34:02,53:01,58:01,03:02,04:01
01:01,68:02,07:02,53:01,04:01,07:02
unmapped,unmapped,15:10,15:10,08:04,08:04
02:02,30:01,18:01,42:01,05:01,unmapped
30:02,80:01,14:02,18:01,02:02,08:02
23:01,30:01,45:01,58:01,03:02,06:02
26:01,68:01,14:01,15:03,02:10,08:02
30:01,68:02,15:03,15:03,02:10,02:10
30:02,33:03,07:02,53:01,04:01,15:05
02:01,02:01,15:10,42:01,03:04,unmapped
30:01,30:01,13:02,42:01,06:02,unmapped
03:01,24:02,07:02,57:04,07:02,unmapped
02:01,68:01,07:02,49:01,07:01,07:02
02:01,unmapped,07:02,44:10,04:01,07:01
02:01,23:01,18:01,18:01,05:01,05:01
30:02,68:01,35:01,58:02,04:01,06:02
30:02,unmapped,15:10,53:01,03:04,04:01
03:01,30:01,42:01,53:01,04:01,unmapped
03:01,23:01,15:01,58:01,03:04,03:04
23:01,24:02,07:02,14:02,07:02,08:02
02:02,23:01,45:01,53:01,04:01,06:02
03:01,68:02,15:01,78:01,03:03,07:01
30:01,30:03,15:10,57:03,03:04,unmapped
30:01,68:01,40:06,42:01,15:07,unmapped
33:03,unmapped,51:01,58:01,07:01,16:01
03:01,11:01,07:02,55:01,03:03,07:02
26:01,33:03,08:01,58:01,03:04,07:01
23:01,34:02,35:01,44:03,04:01,16:01
23:01,68:02,15:10,15:37,03:02,03:04
30:01,unmapped,35:01,53:01,04:01,04:01
31:01,68:01,57:03,58:02,06:02,07:01
31:01,33:03,08:01,51:07,08:04,14:02
02:01,03:01,45:01,52:01,03:04,16:01
01:01,02:01,27:05,52:01,02:02,12:02
26:01,26:01,35:01,53:01,04:01,04:01
33:03,68:01,35:01,42:01,04:01,unmapped
03:01,33:03,15:03,15:10,04:01,04:01
23:01,33:03,53:01,53:01,04:01,04:01
01:02,30:01,42:01,53:01,04:01,unmapped
02:01,02:02,53:01,53:01,04:01,04:01
02:01,02:05,14:02,51:01,08:02,16:01
03:01,33:03,50:01,58:02,06:02,06:02
02:01,68:02,45:01,52:01,07:02,16:01
02:02,68:02,53:01,53:01,04:01,04:01
03:01,03:01,07:02,13:02,06:02,07:01
02:01,33:03,52:01,53:01,06:02,16:01
23:01,23:01,07:02,52:01,07:02,16:01
01:01,29:02,08:01,53:01,04:01,07:01
01:01,03:01,57:01,57:02,04:01,07:01
02:01,23:01,35:01,39:10,12:03,16:01
03:01,30:02,53:01,57:03,04:01,07:01
03:01,unmapped,07:02,44:03,04:01,06:02
01:01,02:02,08:01,57:03,07:01,07:01
30:01,68:02,14:01,42:01,08:02,unmapped
23:01,30:01,15:03,53:01,02:10,04:01
